model_key,brand,model,title,price,reference_price,type,placement,capacity,voltage,amperage,plug,emf,spectrum,red_light,ir_wattage,heater,heater_kw,max_temp,exterior_dimensions,interior_dimensions,wood,weight,warranty,inhouse_url
ctc2245w,Dundalk Leisurecraft,CTC2245W,LeisureCraft Serenity Barrel Sauna – Fits 3-4 People,5724.0,8742.19,Traditional,Outdoor,4,,,,,,,,"Harvia 6 kW, Designer B series) or a traditional wood‑burning stove, the Serenity saun",6 kW,,,,Cedar,,,https://inhousewellness.com/products/leisurecraft-serenity
ctc22lu,Dundalk Leisurecraft,CTC22LU,LeisureCraft Luna Sauna – Fits 2-3 People,6825.0,10664.84,Traditional,Outdoor,3,,,,,,,,,6 kW,,,,Cedar,,,https://inhousewellness.com/products/leisurecraft-luna
ctc22w,Dundalk Leisurecraft,CTC22W,Leisurecraft Timber Harmony 4 Person Outdoor Barrel Sauna,6782.5,8478.13,Traditional,Outdoor,4,,,,,,,,,,,,,Cedar,,,https://inhousewellness.com/products/leisurecraft-timber-harmony-4-person-outdoor-barrel-sauna
ctc2345,Dundalk Leisurecraft,CTC2345,LeisureCraft Tranquility Barrel Sauna for up to 8 People | Premium Canadian Cedar,7353.13,15298.44,Traditional,Outdoor,8,,,,,,,,"Harvia, HUUM, and others), allowing you to choose from",6 kW,,,,Cedar,,,https://inhousewellness.com/products/leisurecraft-tranquility-barrel-sauna
ctc66w,Dundalk Leisurecraft,CTC66W,LeisureCraft Granby 2-3 Person Outdoor Sauna – Premium Cedar Cabin Design,7085.63,8857.03,Traditional,Outdoor,3,,,,,,,,,,,,,Cedar,,,https://inhousewellness.com/products/leisurecraft-granby-2-3-person-cabin-sauna
ctc77mw,Dundalk Leisurecraft,CTC77MW,LeisureCraft CT MiniPOD Outdoor Sauna – 3-4 Person Cabin Sauna with Premium Cedar,6478.0,10226.56,Traditional,Outdoor,4,,,,,,,,,,,,,Cedar,,,https://inhousewellness.com/products/leisurecraft-ct-minipod-sauna-fits-3-4-people
ctc88w,Dundalk Leisurecraft,CTC88W,CT Georgian Cabin Sauna – Outdoor 4-Person Sauna with Modern Heating & Luxury Design,6953.0,10950.0,Traditional,Outdoor,4,,,,,,,,,8 kW,,,,Cedar,,,https://inhousewellness.com/products/ct-georgian-cabin-sauna
dyn-6103-01,Dynamic Saunas,DYN-6103-01,Dynamic Saunas Avila 1-2 Person Low EMF FAR Infrared Sauna,1999.0,3499.0,Infrared,Indoor,2,120V,15A,,Low,Full Spectrum,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/dynamic-avila-2-sauna-infrared
dyn-6103-01-elite,Dynamic Saunas,DYN-6103-01 Elite,Dynamic Saunas Avila DYN-6103-01 Elite – 1-2 Person Ultra-Low EMF FAR Infrared Sauna,2299.0,3999.0,Infrared,Indoor,2,120V,15A,,Ultra Low,Far Infrared,,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/dynamic-saunas-avila-elite
dyn-6106-01,Dynamic Saunas,DYN-6106-01,Dynamic Ultra Low EMF Far Infrared Sauna - Barcelona Elite Edition,1999.0,3499.0,Infrared,Indoor,2,,,,Ultra Low,Far Infrared,True,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/1-2-person-infrared-sauna-model-number-low-emf-hemlock-bluetooth
dyn-6106-01-elite,Dynamic Saunas,DYN-6106-01 Elite,Dynamic Ultra Low EMF Far Infrared Sauna - Barcelona Elite Edition,2299.0,3999.0,Hybrid,Indoor,1,120V,20A,,Ultra Low,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/dynamic-ultra-low-emf-sauna
dyn-6115-05,Dynamic Saunas,DYN-6115-05,Dynamic Saunas DYN-6115-05 Veneto 2 Person Low EMF Far Infrared Sauna,2299.0,3999.0,Infrared,Indoor,2,,15A,,Low,Far Infrared,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/dynamic-saunas-dyn-6115-05-veneto
dyn-6119-01,Dynamic Saunas,DYN-6119-01,Dynamic Saunas Gracia 1-2 Person Low EMF FAR Infrared Sauna,1999.0,3499.0,Infrared,Indoor,2,120V,,,Near Zero,Full Spectrum,,,,,,,,Canadian Hemlock,,,https://inhousewellness.com/products/1-2-person-infrared-sauna-hemlock-chromotherapy
dyn-6119-01-elite,Dynamic Saunas,DYN-6119-01-ELITE,Dynamic Saunas Gracia DYN-6119-01 Elite Ultra Low EMF FAR Infrared Sauna 2 Person,3999.0,5200.0,Infrared,Indoor,2,120V,15A,Standard 120V outlet,Ultra Low,Far Infrared,True,,,,Up to 140°F,,,Canadian Hemlock,,,https://inhousewellness.com/products/gracia-ultra-lowemf-sauna
